FFFFEED 2016/05/26 18:10:55 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:10:55 -I- FFF-Verify Batch Feeder To Rdbms
FFFFEED 2016/05/26 18:10:55 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:10:55 -I- Start.
FFFFEED 2016/05/26 18:10:55 -I- *** Version:  V4.5.5.0 / 25/05/2016 10:01:02
FFFFEED 2016/05/26 18:10:55 -I- *** Platform: WIN32 / TCPIP/SOCKET
FFFFEED 2016/05/26 18:10:55 -I- 98 (hits) 65 (records)
FFFFEED 2016/05/26 18:10:55 -I- 99 (hits) 65 (records)
FFFFEED 2016/05/26 18:10:55 -I- 100 (hits) 65 (records)
FFFFEED 2016/05/26 18:10:55 -I- 101 (hits) 66 (records)
FFFFEED 2016/05/26 18:10:55 -I- 102 (hits) 66 (records)
FFFFEED 2016/05/26 18:10:55 -I- 103 (hits) 66 (records)
FFFFEED 2016/05/26 18:10:55 -I- 104 (hits) 66 (records)
FFFFEED 2016/05/26 18:10:55 -I- 105 (hits) 67 (records)
FFFFEED 2016/05/26 18:10:55 -I- 106 (hits) 68 (records)
FFFFEED 2016/05/26 18:10:55 -I- 107 (hits) 69 (records)
FFFFEED 2016/05/26 18:10:55 -I- 108 (hits) 70 (records)
FFFFEED 2016/05/26 18:10:55 -I- 109 (hits) 70 (records)
FFFFEED 2016/05/26 18:10:55 -I- 110 (hits) 70 (records)
FFFFEED 2016/05/26 18:10:55 -I- 111 (hits) 70 (records)
FFFFEED 2016/05/26 18:10:55 -I- 112 (hits) 70 (records)
FFFFEED 2016/05/26 18:10:55 -I- 113 (hits) 71 (records)
FFFFEED 2016/05/26 18:10:55 -I- 114 (hits) 72 (records)
FFFFEED 2016/05/26 18:10:55 -I- 115 (hits) 73 (records)
FFFFEED 2016/05/26 18:10:55 -I- 116 (hits) 73 (records)
FFFFEED 2016/05/26 18:10:55 -I- 117 (hits) 74 (records)
FFFFEED 2016/05/26 18:10:55 -I- 118 (hits) 75 (records)
FFFFEED 2016/05/26 18:10:55 -I- 119 (hits) 75 (records)
